Filename, N_kps1, N_kps2, Total_kps2, N_matches, average_match_rate, n_forward, n_backward, n_not_first_match_forward, n_not_first_match_backward, old_average_match_rate,difference,dif2,, average_match_rate_reduced_CC,,,
jenner046-2010.png,1451,2089,3540,372,0.210169492,404,425,0,0,0.219774011,-0.043701798,0.001909847,,0.210169492,0,0,
jenner047-2010.png,1014,1515,2529,185,0.146302887,203,197,0,0,0.147884539,-0.010695185,0.000114387,,0.146302887,0,0,
jenner048-2010.png,1846,2204,4050,271,0.13382716,290,312,0,0,0.141234568,-0.052447553,0.002750746,,0.13382716,0,0,
jenner049-2010.png,1557,2156,3713,264,0.14220307,296,289,0,0,0.147050902,-0.032967031,0.001086825,,0.14220307,0,0,
jenner050-2010.png,1402,2452,3854,227,0.117799689,251,270,0,0,0.120913337,-0.025751075,0.000663118,,0.117799689,0,0,
jenner051-2010.png,1574,1691,3265,158,0.096784074,175,177,0,0,0.099234303,-0.024691356,0.000609663,,0.096784074,0,0,
jenner052-2010.png,1055,1464,2519,268,0.21278285,287,292,0,0,0.219928543,-0.032490974,0.001055663,,0.213576816,-0.000793966,6.30382E-07,
jenner053-2010.png,1217,2040,3257,185,0.113601474,201,206,0,0,0.114829598,-0.010695189,0.000114387,,0.113601474,0,0,
jenner054-2010.png,973,1232,2205,146,0.132426304,165,167,0,0,0.13877551,-0.045751633,0.002093212,,0.132426304,0,0,
jenner055-2010.png,873,1112,1985,168,0.169269521,185,186,0,0,0.172292191,-0.017543857,0.000307787,,0.169269521,0,0,
jenner056-2010.png,1274,1235,2509,104,0.082901554,117,118,0,0,0.088481467,-0.063063066,0.00397695,,0.082901554,0,0,
jenner057-2010.png,1669,2118,3787,376,0.198574069,403,397,0,0,0.202799049,-0.020833332,0.000434028,,0.199102192,-0.000528123,2.78913E-07,
jenner058-2010.png,1323,2490,3813,286,0.150013113,309,321,0,0,0.154209284,-0.027210884,0.000740432,,0.150013113,0,0,
jenner059-2010.png,1574,1846,3420,242,0.141520468,276,267,0,0,0.146783626,-0.035856575,0.001285694,,0.141520468,0,0,
jenner060-2010.png,802,1118,1920,75,0.078125,82,91,0,0,0.082291667,-0.050632915,0.002563692,,0.078125,0,0,
jenner061-2010.png,825,1575,2400,60,0.05,70,73,0,0,0.0525,-0.047619048,0.002267574,,0.05,0,0,
jenner062-2010.png,694,852,1546,105,0.135834411,112,110,0,0,0.138421734,-0.018691592,0.000349376,,0.135834411,0,0,
jenner063-2010.png,1019,1445,2464,201,0.163149351,212,216,0,0,0.166396104,-0.019512196,0.000380726,,0.163149351,0,0,
jenner064-2010.png,1339,1389,2728,146,0.107038123,165,161,0,0,0.110703812,-0.03311258,0.001096443,,0.107038123,0,0,
losangeles001-2010.png,2652,3887,6539,181,0.055360147,229,252,0,0,0.063006576,-0.121359224,0.014728061,,0.055360147,0,0,
losangeles002-2010.png,3483,5272,8755,431,0.098458024,488,512,0,0,0.104854369,-0.061002179,0.003721266,,0.098686465,-0.000228441,5.21852E-08,
losangeles003-2010.png,1543,4002,5545,378,0.136339044,418,431,0,0,0.142470694,-0.043037973,0.001852267,,0.137060415,-0.000721371,5.20376E-07,
losangeles004-2010.png,859,3242,4101,141,0.068763716,153,168,0,0,0.07071446,-0.027586208,0.000760999,,0.068763716,0,0,
losangeles005-2010.png,1553,3940,5493,405,0.147460404,430,465,0,0,0.155834699,-0.05373832,0.002887807,,0.147460404,0,0,
losangeles006-2010.png,2221,4441,6662,500,0.150105074,531,564,0,0,0.156109276,-0.038461535,0.00147929,,0.150105074,0,0,
losangeles007-2010.png,2574,4033,6607,806,0.243983654,865,880,0,0,0.251248676,-0.028915664,0.000836116,,0.243983654,0,0,
losangeles008-2010.png,2523,4400,6923,766,0.221291348,810,842,0,0,0.22706919,-0.025445294,0.000647463,,0.22158024,-0.000288892,8.34586E-08,
losangeles009-2010.png,2991,4928,7919,173,0.043692385,215,243,0,0,0.047985857,-0.089473688,0.008005541,,0.043692385,0,0,
losangeles010-2010.png,3131,4900,8031,575,0.143195119,611,638,0,0,0.147179679,-0.02707276,0.000732934,,0.143195119,0,0,
losangeles011-2010.png,2256,4714,6970,686,0.196843615,725,762,0,0,0.203156385,-0.031073449,0.000965559,,0.19713056,-0.000286944,8.23369E-08,
