Filename, N_kps1, N_kps2, Total_kps2, N_matches, average_match_rate, n_forward, n_backward, n_not_first_match_forward, n_not_first_match_backward
losangeles006-2010.png, 1398, 4589, 5987, 705, 0.235510272257, 766, 829, 0, 0
losangeles007-2010.png, 2011, 4605, 6616, 1144, 0.345828295042, 1261, 1300, 0, 0
losangeles008-2010.png, 1740, 4585, 6325, 1046, 0.330750988142, 1118, 1177, 0, 0
losangeles009-2010.png, 2437, 5374, 7811, 771, 0.197413903469, 880, 962, 0, 0
losangeles010-2010.png, 2584, 5039, 7623, 1158, 0.303817394726, 1253, 1301, 0, 0
losangeles011-2010.png, 1183, 4625, 5808, 673, 0.231749311295, 725, 772, 0, 0
losangeles012-2010.png, 1815, 4450, 6265, 952, 0.303910614525, 1051, 1142, 0, 0
losangeles013-2010.png, 1355, 4644, 5999, 753, 0.251041840307, 816, 893, 0, 0
losangeles014-2010.png, 2096, 5013, 7109, 1215, 0.34182022788, 1326, 1354, 0, 0
losangeles015-2010.png, 1163, 3053, 4216, 679, 0.32210626186, 730, 796, 0, 0
losangeles016-2010.png, 1329, 4377, 5706, 691, 0.242201191728, 753, 794, 0, 0
losangeles017-2010.png, 2882, 5009, 7891, 781, 0.19794702826, 931, 949, 0, 0
losangeles018-2010.png, 3039, 4381, 7420, 1507, 0.406199460916, 1640, 1667, 0, 0
losangeles019-2010.png, 1164, 3885, 5049, 683, 0.27054862349, 736, 797, 0, 0
losangeles020-2010.png, 1587, 3961, 5548, 742, 0.267483777938, 834, 867, 0, 0
losangeles021-2010.png, 1923, 4336, 6259, 960, 0.306758268094, 1060, 1081, 0, 0
losangeles022-2010.png, 1996, 5029, 7025, 1116, 0.317722419929, 1210, 1292, 0, 0
losangeles023-2010.png, 1303, 4360, 5663, 799, 0.282182588734, 854, 900, 0, 0
losangeles024-2010.png, 2064, 4942, 7006, 1090, 0.311161861262, 1178, 1222, 0, 0
losangeles025-2010.png, 2458, 4944, 7402, 620, 0.167522291273, 726, 780, 0, 0
losangeles026-2010.png, 2706, 4682, 7388, 1302, 0.35246345425, 1445, 1485, 0, 0
losangeles027-2010.png, 1506, 4338, 5844, 848, 0.290212183436, 925, 984, 0, 0
losangeles028-2010.png, 1457, 4158, 5615, 824, 0.293499554764, 896, 948, 0, 0
losangeles029-2010.png, 2505, 4529, 7034, 1449, 0.411998862667, 1568, 1611, 0, 0
losangeles030-2010.png, 1972, 4783, 6755, 1062, 0.314433752776, 1135, 1181, 0, 0
losangeles031-2010.png, 2058, 4444, 6502, 1112, 0.342048600431, 1188, 1247, 0, 0
losangeles032-2010.png, 1994, 4683, 6677, 1099, 0.329189755878, 1183, 1238, 0, 0
losangeles033-2010.png, 3249, 5152, 8401, 982, 0.233781692656, 1136, 1200, 0, 0
losangeles034-2010.png, 3019, 5148, 8167, 745, 0.182441532999, 889, 909, 0, 0
losangeles035-2010.png, 1434, 4312, 5746, 763, 0.265576052906, 829, 884, 0, 0
losangeles036-2010.png, 1587, 4362, 5949, 817, 0.27466801143, 892, 927, 0, 0
losangeles037-2010.png, 1793, 4420, 6213, 962, 0.309673265733, 1030, 1109, 0, 0
losangeles038-2010.png, 1836, 4610, 6446, 1000, 0.310269934843, 1095, 1171, 0, 0
losangeles039-2010.png, 2320, 4687, 7007, 1394, 0.397887826459, 1497, 1562, 0, 0
losangeles040-2010.png, 2130, 4472, 6602, 1258, 0.381096637383, 1352, 1388, 0, 0
losangeles041-2010.png, 3502, 5443, 8945, 784, 0.175293460034, 928, 949, 0, 0
losangeles042-2010.png, 3213, 4600, 7813, 1217, 0.311532061948, 1342, 1364, 0, 0
losangeles043-2010.png, 1554, 4023, 5577, 801, 0.287251210328, 881, 936, 0, 0
losangeles044-2010.png, 1074, 4263, 5337, 470, 0.176128911373, 512, 564, 0, 0
losangeles045-2010.png, 1820, 4636, 6456, 862, 0.267038413879, 964, 985, 0, 0
