Filename, N_kps1, N_kps2, N_kps_total, average_match_rate, proximity_in_pixels, fit_converged, n_forward, n_backward, n_not_first_match_forward, n_not_first_match_backward
losangeles002-2010.png, 2723, 5495, 8218, 0.273545874909, 4, -1, 1245, 1318, 203, 219
losangeles003-2010.png, 1099, 4306, 5405, 0.233487511563, 4, -1, 699, 759, 102, 124
losangeles004-2010.png, 765, 3621, 4386, 0.124943000456, 4, -1, 314, 353, 57, 69
losangeles005-2010.png, 1090, 4385, 5475, 0.213698630137, 4, -1, 639, 728, 87, 105
losangeles006-2010.png, 1398, 4589, 5987, 0.264907299148, 4, -1, 877, 957, 111, 128
losangeles007-2010.png, 2011, 4605, 6616, 0.376058041112, 4, -1, 1379, 1449, 118, 149
losangeles008-2010.png, 1740, 4585, 6325, 0.360790513834, 4, -1, 1221, 1306, 103, 129
losangeles009-2010.png, 2437, 5374, 7811, 0.248367686596, 4, -1, 1092, 1202, 212, 240
losangeles010-2010.png, 2584, 5039, 7623, 0.33818706546, 4, -1, 1409, 1466, 156, 165
losangeles011-2010.png, 1183, 4625, 5808, 0.257920110193, 4, -1, 800, 869, 75, 97
losangeles012-2010.png, 1815, 4450, 6265, 0.348922585794, 4, -1, 1183, 1312, 132, 170
losangeles013-2010.png, 1355, 4644, 5999, 0.278046341057, 4, -1, 901, 992, 85, 99
losangeles014-2010.png, 2096, 5013, 7109, 0.372766915178, 4, -1, 1450, 1490, 124, 136
losangeles015-2010.png, 1163, 3053, 4216, 0.351043643264, 4, -1, 804, 890, 74, 94
losangeles016-2010.png, 1329, 4377, 5706, 0.272695408342, 4, -1, 851, 922, 98, 128
losangeles017-2010.png, 2882, 5009, 7891, 0.25978963376, 4, -1, 1170, 1212, 239, 263
losangeles018-2010.png, 3039, 4381, 7420, 0.449326145553, 4, -1, 1829, 1860, 189, 193
losangeles019-2010.png, 1164, 3885, 5049, 0.293127351951, 4, -1, 802, 887, 66, 90
losangeles020-2010.png, 1587, 3961, 5548, 0.307498197549, 4, -1, 957, 1023, 123, 156
losangeles021-2010.png, 1923, 4336, 6259, 0.345422591468, 4, -1, 1183, 1232, 123, 151
losangeles022-2010.png, 1996, 5029, 7025, 0.353309608541, 4, -1, 1352, 1450, 142, 158
losangeles023-2010.png, 1303, 4360, 5663, 0.301253752428, 4, -1, 919, 983, 65, 83
losangeles024-2010.png, 2064, 4942, 7006, 0.340565229803, 4, -1, 1296, 1378, 118, 156
losangeles025-2010.png, 2458, 4944, 7402, 0.221291542826, 4, -1, 937, 988, 211, 208
losangeles026-2010.png, 2706, 4682, 7388, 0.404981050352, 4, -1, 1639, 1718, 194, 233
losangeles027-2010.png, 1506, 4338, 5844, 0.314510609172, 4, -1, 1005, 1096, 80, 112
losangeles028-2010.png, 1457, 4158, 5615, 0.322707034728, 4, -1, 988, 1059, 92, 111
losangeles029-2010.png, 2505, 4529, 7034, 0.451805516065, 4, -1, 1707, 1778, 139, 167
losangeles030-2010.png, 1972, 4783, 6755, 0.345817912657, 4, -1, 1266, 1322, 131, 141
losangeles031-2010.png, 2058, 4444, 6502, 0.370962780683, 4, -1, 1311, 1374, 123, 127
losangeles032-2010.png, 1994, 4683, 6677, 0.36034147072, 4, -1, 1298, 1396, 115, 158
losangeles033-2010.png, 3249, 5152, 8401, 0.297107487204, 4, -1, 1406, 1466, 270, 266
losangeles034-2010.png, 3019, 5148, 8167, 0.235092445206, 4, -1, 1098, 1146, 209, 237
losangeles035-2010.png, 1434, 4312, 5746, 0.292725374173, 4, -1, 917, 1008, 88, 124
losangeles036-2010.png, 1587, 4362, 5949, 0.30795091612, 4, -1, 996, 1042, 104, 115
losangeles037-2010.png, 1793, 4420, 6213, 0.342185739578, 4, -1, 1147, 1229, 117, 120
losangeles038-2010.png, 1836, 4610, 6446, 0.343779087806, 4, -1, 1211, 1307, 116, 136
losangeles039-2010.png, 2320, 4687, 7007, 0.429285000714, 4, -1, 1622, 1729, 125, 167
losangeles040-2010.png, 2130, 4472, 6602, 0.414722811269, 4, -1, 1474, 1531, 122, 143
losangeles041-2010.png, 3502, 5443, 8945, 0.230743432085, 4, -1, 1199, 1207, 271, 258
losangeles042-2010.png, 3213, 4600, 7813, 0.356329194932, 4, -1, 1512, 1577, 170, 213
losangeles043-2010.png, 1554, 4023, 5577, 0.328850636543, 4, -1, 995, 1078, 114, 142
losangeles044-2010.png, 1074, 4263, 5337, 0.203485103991, 4, -1, 583, 663, 71, 99
losangeles045-2010.png, 1820, 4636, 6456, 0.301115241636, 4, -1, 1072, 1114, 108, 129
losangeles046-2010.png, 1928, 4482, 6410, 0.34352574103, 4, -1, 1194, 1267, 127, 156
losangeles047-2010.png, 2160, 4525, 6685, 0.417053103964, 4, -1, 1524, 1597, 119, 135
losangeles048-2010.png, 1770, 4411, 6181, 0.324219381977, 4, -1, 1072, 1139, 98, 130
losangeles049-2010.png, 3454, 5237, 8691, 0.227131515361, 4, -1, 1165, 1172, 257, 276
losangeles050-2010.png, 3032, 4264, 7296, 0.446546052632, 4, -1, 1768, 1827, 162, 194
losangeles051-2010.png, 1732, 4374, 6106, 0.325908942024, 4, -1, 1056, 1143, 104, 134
losangeles052-2010.png, 1759, 4741, 6500, 0.317538461538, 4, -1, 1115, 1197, 103, 147
losangeles053-2010.png, 2388, 4513, 6901, 0.390378206057, 4, -1, 1476, 1531, 143, 177
losangeles054-2010.png, 2707, 4884, 7591, 0.44763535766, 4, -1, 1834, 1878, 157, 182
losangeles055-2010.png, 2183, 4330, 6513, 0.43543681867, 4, -1, 1523, 1578, 110, 106
losangeles056-2010.png, 1956, 4050, 6006, 0.363969363969, 4, -1, 1193, 1272, 134, 161
losangeles057-2010.png, 3198, 5004, 8202, 0.265057303097, 4, -1, 1232, 1320, 250, 291
losangeles058-2010.png, 2891, 4572, 7463, 0.325070347045, 4, -1, 1323, 1379, 170, 191
